iter	RMSE
0	3332.635586
1	3225.056194
2	3126.782679
3	3033.515263
4	2943.615507
5	2860.921543
6	2787.348418
7	2714.046436
8	2643.41739
9	2578.6258
10	2516.763106
11	2461.102956
12	2406.940803
13	2355.517643
14	2310.410391
15	2267.214421
16	2226.99907
17	2188.498696
18	2152.097014
19	2117.923077
20	2085.478423
21	2055.380192
22	2026.872738
23	1999.913232
24	1976.017631
25	1952.014508
26	1929.634128
27	1909.340855
28	1890.16523
29	1872.077538
30	1855.205604
31	1839.064317
32	1819.975007
33	1804.653047
34	1790.806463
35	1776.797474
36	1764.816342
37	1754.100369
38	1742.283276
39	1728.983198
40	1718.917674
41	1709.230457
42	1700.274786
43	1688.989982
44	1681.022924
45	1671.312752
46	1663.619477
47	1656.839152
48	1650.274466
49	1643.176633
50	1634.608051
51	1628.301009
52	1622.107665
53	1614.702889
54	1608.807619
55	1603.67882
56	1597.471467
57	1592.252208
58	1587.162978
59	1582.725843
60	1576.958369
61	1572.518297
62	1568.656947
63	1564.304347
64	1560.417791
65	1556.436323
66	1552.939893
67	1548.53958
68	1545.32235
69	1541.512921
70	1538.543329
71	1534.730878
72	1532.055679
73	1529.423913
74	1526.182377
75	1523.573008
76	1520.871413
77	1518.213572
78	1515.356107
79	1513.113092
80	1510.670975
81	1508.039293
82	1505.667107
83	1503.679622
84	1501.622094
85	1499.172882
86	1497.633455
87	1495.539808
88	1493.736141
89	1490.434104
90	1488.856529
91	1487.254294
92	1484.246247
93	1482.282101
94	1480.747965
95	1479.362618
96	1477.548447
97	1475.707521
98	1474.098701
99	1471.751783
