iter	Passed	Remaining
0	8	827
1	15	759
2	22	729
3	30	722
4	37	708
5	44	698
6	52	693
7	59	687
8	67	680
9	74	670
10	81	662
11	89	653
12	96	645
13	103	635
14	110	628
15	118	621
16	125	613
17	132	605
18	140	598
19	147	591
20	155	584
21	162	574
22	169	568
23	177	562
24	185	557
25	193	550
26	200	543
27	208	535
28	216	529
29	223	521
30	230	512
31	237	504
32	244	496
33	251	489
34	258	480
35	266	473
36	273	465
37	280	458
38	288	450
39	295	443
40	303	436
41	310	429
42	317	420
43	324	412
44	331	404
45	338	396
46	345	389
47	352	381
48	360	374
49	367	367
50	375	361
51	383	354
52	391	347
53	399	339
54	406	332
55	414	325
56	422	318
57	430	311
58	437	304
59	445	297
60	453	289
61	460	282
62	468	274
63	475	267
64	482	260
65	490	252
66	497	245
67	504	237
68	512	230
69	519	222
70	527	215
71	533	207
72	540	199
73	547	192
74	554	184
75	561	177
76	568	169
77	575	162
78	582	154
79	589	147
80	596	139
81	603	132
82	610	125
83	617	117
84	623	110
85	630	102
86	636	95
87	643	87
88	650	80
89	657	73
90	664	65
91	670	58
92	678	51
93	685	43
94	691	36
95	698	29
96	705	21
97	712	14
98	718	7
99	726	0
